DEPARTMENT,QTY,EQUIPMENT_ID,UNIT_COST,SALE_ID,SALE_DATE,HOSPITAL_ID,LAST_UPDATE_DATE
OUT PATIENT DEPARTMENT,3,E0340,135.87,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
MINOR THEATRE,1,E0020,200,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
ICU,1,E0009,43.48,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
PHARMACY,1,E0350,13.59,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
OCCUPATIONAL THERAPY,2,E0287,13.59,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
LABORATORY,2,E0190,88.77,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
MINOR THEATRE,1,E0154,200,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
WARD,2,E0036,40.76,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
CASUALTY,1,E0037,58.88,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
THEATRE,2,E0399,45.29,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
LABORATORY,4,E0184,751.29,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
CASUALTY,2,E0032,4.08,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
X - RAY,2,E0480,31702.9,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
MCH/FP,2,E0035,17.21,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
PHSYSIOTHERAPY,1,E0379,226.45,M000000002,2021-04-01,US_HOSP_7,2021-04-01 12:13:13.513
WARD,1,E0034,13.59,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
THEATRE,1,E0412,452.9,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
THEATRE,1,E0393,31.7,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
OUT PATIENT DEPARTMENT,4,E0030,634.06,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
CASUALTY,2,E0004,5.43,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
ORTHOPAEDIC TECHNOLOGY,1,E0316,543.48,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
CASUALTY,4,E0006,10.87,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
MCH/FP,1,E0000,1.36,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
CASUALTY,2,E0022,4.53,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
PHSYSIOTHERAPY,2,E0365,90.58,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
MCH/FP,1,E0233,18.12,M000000003,2021-04-01,FR_HOSP_7,2021-04-01 13:31:31.180
LABORATORY,1,E0187,2282.61,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
EYE UNIT,1,E0140,226.45,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
CASUALTY,2,E0025,59.78,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
ICU,1,E0129,17.21,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
ORTHOPAEDIC TECHNOLOGY,1,E0322,905.8,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
LABORATORY,2,E0186,407.61,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
ORTHOPAEDIC TECHNOLOGY,1,E0304,90.58,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
MCH/FP,1,E0009,43.48,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
LABORATORY,1,E0196,1358.7,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
OUT PATIENT DEPARTMENT,1,E0333,271.74,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
CASUALTY,2,E0020,200,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
MATERNITY,1,E0218,163.04,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
"THEATRE, MATERNITY",1,E0428,14215.46,M000000004,2021-04-01,DE_HOSP_4,2021-04-01 14:37:37.370
DENTAL UNIT,10,E0091,253.62,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
PHSYSIOTHERAPY,2,E0371,45.29,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
LABORATORY,2,E0179,58.88,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
MCH/FP,1,E0254,1358.7,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
PHSYSIOTHERAPY,1,E0388,815.21,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
THEATRE,1,E0406,4528.99,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
"THEATRE, MATERNITY",1,E0157,241.67,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
MCH/FP,2,E0251,181.16,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
ICU,1,E0154,200,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
CASUALTY,5,E0002,4.08,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
MCH/FP,2,E0245,16.3,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
X - RAY,2,E0474,1086.96,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
EYE UNIT,1,E0142,1358.7,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
ENT,1,E0113,176.63,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
WARD,2,E0010,114.58,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
DENTAL LAB,1,E0079,362.32,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
OCCUPATIONAL THERAPY,3,E0278,14.49,M000000005,2021-04-01,FR_HOSP_10,2021-04-01 15:31:31.410
ENT,1,E0125,1358.7,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
LABORATORY,1,E0201,2647.44,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
MCH/FP,2,E0003,5.43,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
OUT PATIENT DEPARTMENT,3,E0009,43.48,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
CASUALTY,2,E0030,634.06,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
MINOR THEATRE,1,E0003,5.43,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
MATERNITY,1,E0227,634.06,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
X - RAY,1,E0491,63405.8,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
CASUALTY,2,E0010,114.58,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
THEATRE,1,E0410,24012.6,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
PHARMACY,2,E0349,634.06,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
THEATRE,2,E0157,241.67,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
WARD,2,E0032,4.08,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
WARD,4,E0019,86.05,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
MCH/FP,1,E0208,362.32,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
OCCUPATIONAL THERAPY,1,E0275,31.7,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
MATERNITY,1,E0226,634.06,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
LABORATORY,1,E0199,2122.41,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
MINOR THEATRE,1,E0019,86.05,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
OCCUPATIONAL THERAPY,1,E0288,13.59,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
CASUALTY,1,E0026,108.7,M000000006,2021-04-01,US_HOSP_5,2021-04-01 16:42:42.540
DENTAL UNIT,1,E0100,4690.6,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
OUT PATIENT DEPARTMENT,1,E0190,88.77,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
OCCUPATIONAL THERAPY,2,E0284,2.72,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
CASUALTY,3,E0003,5.43,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
LABORATORY,1,E0185,299.56,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
X - RAY,2,E0473,1086.96,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
MCH/FP,2,E0217,40.76,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
DENTAL LAB,1,E0085,905.8,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
PHARMACY,2,E0352,135.87,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
THEATRE,2,E0155,634.06,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
LABORATORY,1,E0180,588.77,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
THEATRE,4,E0039,184.13,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
LABORATORY,1,E0200,2264.49,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
DENTAL UNIT,1,E0093,260.59,M000000007,2021-04-01,DE_HOSP_6,2021-04-01 17:32:32.773
ICU,8,E0157,241.67,M000000008,2021-04-01,DE_HOSP_6,2021-04-01 10:32:32.393
CASUALTY,1,E0038,135.87,M000000008,2021-04-01,DE_HOSP_6,2021-04-01 10:32:32.393
PHSYSIOTHERAPY,2,E0380,226.45,M000000008,2021-04-01,DE_HOSP_6,2021-04-01 10:32:32.393
CASUALTY,3,E0023,28.82,M000000008,2021-04-01,DE_HOSP_6,2021-04-01 10:32:32.393
ICU,2,E0044,6723.52,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
THEATRE,2,E0049,2401.43,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
MCH/FP,2,E0247,22.64,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
DENTAL LAB,4,E0058,5.89,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
ENT,2,E0121,407.61,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
OCCUPATIONAL THERAPY,2,E0290,18.12,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
DENTAL LAB,1,E0075,226.45,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
CASUALTY,3,E0028,163.04,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
THEATRE,1,E0413,452.9,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
MCH/FP,1,E0190,88.77,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
ENT,2,E0117,271.74,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
DENTAL LAB,1,E0074,181.16,M000000009,2021-04-01,FR_HOSP_6,2021-04-01 11:24:24.823
HDU,2,E0027,135.87,M000000010,2021-04-01,FR_HOSP_7,2021-04-01 12:26:26.523
PHSYSIOTHERAPY,1,E0375,90.58,M000000010,2021-04-01,FR_HOSP_7,2021-04-01 12:26:26.523
MCH/FP,5,E0232,4.53,M000000010,2021-04-01,FR_HOSP_7,2021-04-01 12:26:26.523
MATERNITY,4,E0009,43.48,M000000010,2021-04-01,FR_HOSP_7,2021-04-01 12:26:26.523
MATERNITY,4,E0215,16.3,M000000010,2021-04-01,FR_HOSP_7,2021-04-01 12:26:26.523
ICU,1,E0171,1068.84,M000000011,2021-04-01,DE_HOSP_10,2021-04-01 13:05:05.023
ORTHOPAEDIC TECHNOLOGY,1,E0310,271.74,M000000011,2021-04-01,DE_HOSP_10,2021-04-01 13:05:05.023
CASUALTY,1,E0013,13.59,M000000011,2021-04-01,DE_HOSP_10,2021-04-01 13:05:05.023
CASUALTY,2,E0024,31.7,M000000012,2021-04-01,DE_HOSP_9,2021-04-01 14:20:20.267
WARD,1,E0031,751.36,M000000012,2021-04-01,DE_HOSP_9,2021-04-01 14:20:20.267
WARD,1,E0038,333.06,M000000012,2021-04-01,DE_HOSP_9,2021-04-01 14:20:20.267
MINOR THEATRE,1,E0003,5.43,M000000012,2021-04-01,DE_HOSP_9,2021-04-01 14:20:20.267
OCCUPATIONAL THERAPY,1,E0282,63.41,M000000012,2021-04-01,DE_HOSP_9,2021-04-01 14:20:20.267
CASUALTY,2,E0043,1164.86,M000000012,2021-04-01,DE_HOSP_9,2021-04-01 14:20:20.267
OCCUPATIONAL THERAPY,1,E0276,36.23,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
ENT,1,E0102,16.3,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
ENT,1,E0123,543.48,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
WARD,2,E0251,181.16,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
EYE UNIT,1,E0149,10869.57,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
CASUALTY,1,E0046,241.49,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
DENTAL UNIT,1,E0095,289.86,M000000013,2021-04-01,DE_HOSP_5,2021-04-01 15:19:19.280
LABORATORY,1,E0179,58.88,M000000014,2021-04-01,FR_HOSP_6,2021-04-01 16:09:09.240
MINOR THEATRE,1,E0271,1086.96,M000000014,2021-04-01,FR_HOSP_6,2021-04-01 16:09:09.240
LABORATORY,4,E0177,299.56,M000000014,2021-04-01,FR_HOSP_6,2021-04-01 16:09:09.240
LABORATORY,3,E0180,588.77,M000000014,2021-04-01,FR_HOSP_6,2021-04-01 16:09:09.240
WARD,1,E0000,1.36,M000000014,2021-04-01,FR_HOSP_6,2021-04-01 16:09:09.240
EYE UNIT,1,E0129,17.21,M000000015,2021-04-01,DE_HOSP_2,2021-04-01 17:57:57.857
EYE UNIT,1,E0131,45.29,M000000015,2021-04-01,DE_HOSP_2,2021-04-01 17:57:57.857
DENTAL LAB,7,E0059,18.12,M000000016,2021-04-01,US_HOSP_10,2021-04-01 10:22:22.430
X - RAY,2,E0471,543.48,M000000017,2021-04-01,US_HOSP_10,2021-04-01 11:18:18.687
CASUALTY,1,E0021,1.36,M000000017,2021-04-01,US_HOSP_10,2021-04-01 11:18:18.687
EYE UNIT,2,E0135,271.74,M000000017,2021-04-01,US_HOSP_10,2021-04-01 11:18:18.687
LABORATORY,4,E0181,90.58,M000000018,2021-04-01,DE_HOSP_7,2021-04-01 12:22:22.583
OUT PATIENT DEPARTMENT,2,E0347,181.16,M000000018,2021-04-01,DE_HOSP_7,2021-04-01 12:22:22.583
DENTAL UNIT,1,E0100,4690.6,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
PHSYSIOTHERAPY,4,E0359,23.55,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
LABORATORY,2,E0182,90.58,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
WARD,1,E0447,181.16,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
CASUALTY,2,E0022,4.53,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
CASUALTY,1,E0038,135.87,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
THEATRE,2,E0410,24012.6,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MINOR THEATRE,1,E0019,86.05,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MATERNITY,1,E0208,4690.6,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
ICU,2,E0155,634.06,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
LABORATORY,1,E0188,9.06,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
ENT,1,E0127,5434.78,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
WARD,3,E0009,43.48,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MATERNITY,1,E0227,634.06,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MCH/FP,3,E0019,86.05,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
PHSYSIOTHERAPY,1,E0391,5778.99,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
DENTAL LAB,2,E0059,18.12,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
HDU,1,E0040,226.45,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
DENTAL LAB,1,E0065,5.43,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MCH/FP,1,E0251,181.16,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
ICU,2,E0044,6723.52,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MCH/FP,2,E0235,3.62,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
LABORATORY,1,E0201,2647.44,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
OUT PATIENT DEPARTMENT,7,E0032,4.08,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
PHSYSIOTHERAPY,1,E0387,634.06,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
ENT,1,E0128,11322.46,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
DENTAL UNIT,1,E0094,271.74,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
EYE UNIT,1,E0148,7699.28,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
ENT,2,E0107,67.93,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
X - RAY,2,E0470,271.74,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
THEATRE,2,E0402,271.74,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
CASUALTY,1,E0035,17.21,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
MATERNITY,2,E0219,317.03,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
THEATRE,3,E0405,3842.02,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
OUT PATIENT DEPARTMENT,4,E0035,17.21,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
CASUALTY,4,E0017,31.7,M000000019,2021-04-02,US_HOSP_10,2021-04-02 13:09:09.717
CASUALTY,1,E0023,28.82,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
LABORATORY,1,E0192,271.74,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
CASUALTY,1,E0000,1.36,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
LABORATORY,5,E0178,226.45,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
X - RAY,1,E0473,1086.96,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
OCCUPATIONAL THERAPY,1,E0290,18.12,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
OCCUPATIONAL THERAPY,1,E0287,13.59,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
MCH/FP,1,E0009,43.48,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
CASUALTY,1,E0037,58.88,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
ENT,1,E0003,5.43,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
PHSYSIOTHERAPY,1,E0383,498.19,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
MATERNITY,4,E0215,16.3,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
ORTHOPAEDIC TECHNOLOGY,2,E0303,45.29,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
OUT PATIENT DEPARTMENT,10,E0003,5.43,M000000020,2021-04-02,US_HOSP_8,2021-04-02 14:31:31.510
PHSYSIOTHERAPY,1,E0379,226.45,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
OCCUPATIONAL THERAPY,4,E0276,36.23,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
DENTAL UNIT,1,E0097,634.06,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
X - RAY,2,E0474,1086.96,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
LABORATORY,3,E0186,407.61,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
OCCUPATIONAL THERAPY,2,E0289,13.59,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
EYE UNIT,1,E0141,1086.96,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
DENTAL LAB,1,E0079,362.32,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
DENTAL LAB,1,E0074,181.16,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
ICU,1,E0040,226.45,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
EYE UNIT,1,E0146,5887.68,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
WARD,1,E0035,17.21,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
PHSYSIOTHERAPY,2,E0370,31.7,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
THEATRE,1,E0208,4690.6,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
DENTAL LAB,1,E0062,18.12,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
CASUALTY,2,E0043,1164.86,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
ENT,1,E0110,108.7,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
EYE UNIT,1,E0135,271.74,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
CASUALTY,4,E0018,49.82,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
MCH/FP,1,E0033,10.87,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
EYE UNIT,1,E0149,10869.57,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
PHSYSIOTHERAPY,2,E0362,181.16,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
CASUALTY,3,E0006,10.87,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
X - RAY,2,E0480,31702.9,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
X - RAY,1,E0486,27173.91,M000000021,2021-04-02,FR_HOSP_10,2021-04-02 15:52:52.757
ORTHOPAEDIC TECHNOLOGY,1,E0322,905.8,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
THEATRE,1,E0411,28.82,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
WARD,2,E0032,4.08,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
"THEATRE, MATERNITY",1,E0428,14215.46,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
THEATRE,2,E0035,17.21,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
OCCUPATIONAL THERAPY,1,E0282,63.41,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
X - RAY,2,E0466,1811.59,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
"THEATRE, MATERNITY",1,E0408,7069.31,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
ICU,1,E0173,7699.28,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
CSSD,2,E0054,452.9,M000000022,2021-04-02,DE_HOSP_1,2021-04-02 16:21:21.187
DENTAL UNIT,1,E0098,1389.81,M000000023,2021-04-02,DE_HOSP_5,2021-04-02 17:41:41.270
PHSYSIOTHERAPY,2,E0374,73.37,M000000023,2021-04-02,DE_HOSP_5,2021-04-02 17:41:41.270
