EQUIPMENT_ID,EQUIPMENT,PURCHASE_PRICE
E0228,Fetus detector,1175.8
E0232,Mosquito forceps,3.77
E0233,IUD Insertion set,13.47
E0234,Sponge holding forceps,3.07
E0235,Kidney dishes,2.66
E0237,Sphygmomanometer,12.1
E0238,Speculum set,18.92
E0245,Uterine Sound,13.39
E0247,Implant removal kit,19.06
E0251,Cool box,132.56
E0254,"Refrigerator, KEPI",1078.24
E0255,Electric cookers,71.62
E0271,"Operating table, simple",834.7
E0273,Assorted toys,3.97
E0274,Goniometer,7.15
E0275,Dart board,23.12
E0276,Plaster shoers,30.34
E0277,Static bicycle,50.05
E0278,Stool frame,11.93
E0279,Children piano with key board,15.16
E0280,Drought board,19.02
E0281,Hammock,33.14
E0282,Beach balls,44.57
E0283,Loom frame,137.3
E0284,Hammer,2.03
E0285,Hand saw,4.95
E0286,Lamp shade frame,9.17
E0287,FEPS machine,10.56
E0288,Scrabble,9.68
E0289,Chess board,9.65
E0290,Tin snip,15.26
E0291,Playing mats,25.25
E0292,Ladder and slide,30.73
E0293,Rotating punch,37.58
E0294,Balancing board,42.01
E0295,Crawling tunnel,53.53
E0296,Spinning board,72.9
E0297,Stemgnosis set,102.9
E0298,Examination couch,261.49
E0299,Shoulder exerciser,221.33
E0300,Scissors,3.32
E0301,Surform,13.73
E0302,Bending iron,30.37
E0303,Spoke shave,35.64
E0304,Parallel bar,68.05
E0305,Limb Vice,71.07
E0306,Engineer's vice,72.11
E0307,PVA sealing iron,69.07
E0308,Jig saw,7.36
E0310,Heat gun,217.5
E0312,Electric cast cutter,268.75
E0313,Grinding machine,383.89
E0314,Column drill with quick chuck,410.59
E0316,Drilling machine,397.24
E0317,Orthotic kit,516.5
E0318,Arc welding machine,546.32
E0319,Vacuum laminating machine,588.44
E0320,Router machine,546.14
E0321,Electric oven,645.3
E0322,Shoe stretcher,638.35
E0323,Prosthetic kit,742.67
E0324,Electric leather sewing machine,1337.92
E0329,"Examination couch, metal/wooden",261.43
E0333,X-Ray viewer,202.01
E0338,Stretcher with IV pole,189.59
E0340,Lockable Cabinet,107.07
E0341,Oxygen Set,116.5
E0347,Fire extinguisher,131.74
E0348,Dispensing stools,19.06
E0349,"Fridge, Pharmacetical",457.91
E0350,Motor & pestle,11.32
E0351,Counting trays,52.56
E0352,Tablet counter,103.44
E0353,Drug cabinet,100.46
E0354,Weighing scale(electronic),227.08
E0355,"Balance, heavy duty",365.02
E0356,"Balance, precision",541.18
E0357,Distiller,663.53
E0359,Crutches,19.83
E0360,Walking frame,27.64
E0362,Hand exerciser,134.23
E0363,Exerciser mirror,5.46
E0364,Calipers,10.79
E0365,Exercise mat,69.04
E0366,TENS Unit,73.5
E0367,Timer,11.92
E0368,Tripod,15.73
E0369,Shoulder wheel,20.42
E0370,Quandricep exerciser,22.75
E0371,Pulley,34.72
E0372,Rowing machine,34.25
E0373,Lumber traction,49.73
E0374,Cervical traction,61.2
E0375,Dump bells(assorted),76.81
E0376,Wheel chair,88.37
E0377,Chest expander,97.42
E0378,Wall bars,118.97
E0379,Electro massager,177.12
E0380,Cryotherapy,158.93
E0381,Pack heater,286.12
E0383,Infra red lamp,377.31
E0384,Ultraviolet,583.3
E0385,Wax bath,637.18
E0386,Infra red radiation(IRR) craddle,1080.37
E0387,Parallel bars,480.31
E0388,Ultrasound unit,680.66
E0389,"Stimulator, electric",1354.36
E0390,Microwave Diathermy,2975.42
E0391,Shortwave Diathermy,4533.89
E0393,"Resuscitation bag, adult",23.9
E0394,"Resuscitation bag, infant",25.62
E0395,Oxygen regulator,116.11
E0396,Instrument table (MAYO),238.69
E0398,Surgeon foot step,17.23
E0399,Surgeon's stool,37.56
E0400,Instrument trolleys,156.66
E0402,Myomectomy(see annex),196.15
E0405,"Operating theatre table, major",2973.63
E0406,Vital Signs Monitor,3499.98
E0408,Electrosurgical unit,5112.52
E0409,"Operating theatre lamp,ceiling mounted.",11003.34
E0410,Anaesthetic machine,20086.48
E0411,Sterilizing drum(see annex),22.66
E0412,Instrument cabinet,323.6
E0413,General set(see annex),329.14
E0415,"Operating theatre lamp, mobile",815.06
E0417,Caesaerian section set,2735.25
E0419,Vacuum Plant,6147.1
E0426,Operation table,3077.89
E0428,Operating light,11836.58
E0429,Anaesthetic machine with ventilator,18449.47
E0440,Dressing pack,34.87
E0442,"Hollow ware set, ward (Assorted)",51.06
E0447,Electric heater(wall mounted),147.48
E0449,Commode chair,264.92
E0453,Electric kettle,32.65
E0455,Weighing scale adult with height measuring,74.58
E0457,"Trolley, oxygen gas cylinder",73.33
E0458,Bed craddle,95.95
E0466,X-ray safe light,1433.32
E0468,Film marker,22.04
E0470,X-ray viewer(single screen),230.61
E0471,X-ray viewer(double screen),394.31
E0473,Manual Film Processor,847.29
E0474,Film Drier,812.94
E0476,Film hopper,1282.75
E0478,Dental X-ray film processor,1629.2
E0479,Cassettee pass- box,1765.86
E0480,Automatic Film Processor,26857.88
E0483,General X-ray Unit,58510.86
E0484,Darkroom accessories(sets),3227.04
E0485,"X-ray Cassettes(see annex),",4557.44
E0486,Dental X-ray,20323.17
E0487,Ultra sound unit(general),19952.96
E0489,OPG Unit,36075.26
E0490,Mammography unit,44115.15
E0491,Mobile X -ray unit with Image intensifier,50677.41
E0493,Screening unit,84858.2
